alive,height_cm,diameter_mm,case_control,case,canopy_width,canopy_length,canopy_area,bird_species,ant_species
A,391.5,123,1,1,2.81,2.66,5.87,GHS,RRB
A,310,102.84,0,1,2.72,2.97,6.35,GHS,RRB
A,513,145.52,0,1,5.8,4.5,20.82,GHS,RRB
A,154,38.24,0,1,1.4,1.02,1.15,GHS,RRB
A,324.5,83.5,0,1,2.6,2.29,4.69,GHS,AB
A,413,95.96,1,2,3.1,3.44,8.39,GCSW,RRB
A,167,52.69,0,2,1.83,2.02,2.91,GCSW,BBR
D,243.5,84.86,0,2,1.88,2.8,4.3,GCSW,NONE
A,276.5,55.88,0,2,1.53,1.45,1.74,GCSW,RRB
A,286,109.46,0,2,1.58,2.28,2.92,GCSW,AB
A,374.5,105.08,1,3,2.07,2.89,4.83,GHS,BBR
D,91,36.09,0,3,0.93,0.94,0.69,GHS,NONE
A,123,66.3,0,3,1.09,1.08,0.92,GHS,RRB
A,423,10.74,0,3,4.1,3.88,12.5,GHS,RRB
A,328.5,75.44,0,3,2.19,2,3.45,GHS,TP
A,390,74.01,1,4,1.66,2.05,2.7,STAR,BBR
A,368,88.61,0,4,3.36,3,7.94,STAR,RRB
A,210.5,60.43,0,4,2.2,1.93,3.35,STAR,RRB
A,452.5,77.88,0,4,2.37,1.9,3.58,STAR,RRB
A,297.5,71.89,0,4,3.01,3,7.09,STAR,RRB
A,397.5,82.99,1,5,3.08,2.64,6.42,GHS,RRB
A,359.5,69.11,0,5,2.64,3.55,7.52,GHS,RRB
A,232,46.14,0,5,1.83,2.17,3.14,GHS,RRB
A,104,21.33,0,5,1.71,0.95,1.39,GHS,RRB
A,192,39.7,0,5,1.67,1.71,2.24,GHS,RRB
A,389,105.69,1,6,2.92,2.63,6.04,STAR,RRB
A,327,96.7,0,6,2.61,3.58,7.52,STAR,RRB
A,89.5,25.8,0,6,0.82,0.66,0.43,STAR,TP
A,456,141.92,0,6,3.28,4.03,10.49,STAR,AB
A,267,95.42,0,6,3.39,2.76,7.42,STAR,AB
A,523.5,47.5,1,7,3.11,2.57,6.33,GCSW,RRB
A,406,44.5,0,7,6,5.13,24.31,GCSW,RRB
A,153,45,0,7,1.51,1,1.24,GCSW,AB
A,163.5,42,0,7,0.82,0.88,0.57,GCSW,RRB
A,110.5,31,0,7,1.64,1.1,1.47,GCSW,RRB
A,215.5,83.53,1,8,1.86,1.85,2.7,GHS,BBR
D,237.5,142,0,8,2.48,1.91,3.78,GHS,NONE
A,103.5,30.77,0,8,0.92,0.8,0.58,GHS,RRB
A,175,40.19,0,8,1,1.35,1.08,GHS,RRB
A,149,40.72,0,8,1.4,1.58,1.74,GHS,RRB
A,420.5,108.12,1,9,2.46,2.36,4.56,GHS,RRB
A,249,67.35,0,9,1.3,1.25,1.28,GHS,RRB
A,119,31.9,0,9,1.12,0.91,0.81,GHS,RRB
A,236.5,61.62,0,9,2.3,2.15,3.89,GHS,RRB
A,86.5,28.14,0,9,0.78,0.64,0.4,GHS,NONE
A,317.5,75.72,1,10,2.2,1.88,3.27,GHS,BBR
A,311,63.23,0,10,1.76,1.84,2.54,GHS,RRB
A,165,46.16,0,10,1.8,1.9,2.69,GHS,RRB
A,228,82.97,0,10,1.66,1.4,1.84,GHS,RRB
A,302.5,104,0,10,2.8,3.4,7.54,GHS,RRB
A,525,119,1,11,3.96,4.18,13,GCSW,RRB
A,353,86,0,11,2.8,2.23,4.97,GCSW,RRB
A,120,30.75,0,11,1.32,1.8,1.91,GCSW,RRB
A,90.5,24.51,0,11,0.8,0.77,0.48,GCSW,RRB
A,259.5,89.31,0,11,2.61,2.52,5.16,GCSW,RRB
A,191,56.32,1,12,2,2.6,4.15,STAR,BBR
A,115.5,51.29,0,12,1.59,1.16,1.48,STAR,BBR
A,170,32.64,0,12,1.82,1.9,2.72,STAR,BBR
A,114.5,41.58,0,12,1.79,1.6,2.26,STAR,AB
A,144,30.82,0,12,1,1.34,1.07,STAR,RRB
A,234.5,54.2,1,13,1.42,2.04,2.35,STAR,BBR
A,341,97.8,0,13,0.73,2.33,1.84,STAR,RRB
A,213,46.95,0,13,2.04,1.35,2.26,STAR,RRB
A,187,33.8,0,13,1.45,0.92,1.1,STAR,RRB
A,300,75.09,0,13,3.04,4.16,10.17,STAR,RRB
A,405.5,121.17,1,14,2.76,5.78,14.31,GCSW,RRB
A,410,77.68,0,14,3.54,3.04,8.5,GCSW,RRB
A,427,91.82,0,14,3.79,3.42,10.2,GCSW,RRB
A,448.5,118.62,0,14,4.62,5.21,18.96,GCSW,RRB
A,312,73.7,0,14,2.78,3.57,7.91,GCSW,RRB
A,407.5,159.03,1,15,6.46,5.76,29.31,GCSW,RRB
A,331.5,114.65,0,15,3.3,3.43,8.89,GCSW,RRB
A,404.5,136.9426752,0,15,5.1,4.33,17.45,GCSW,RRB
A,598,140.1273885,0,15,6.22,4.46,22.38,GCSW,RRB
